Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
16,blue cheese,353,29,18,7.8,0.8,2.3,0.5,21,0,75,1395,42,0.2,0.03,0.036,1.2,0.38,0.17,1.73,0.17,0,0.5,0.25,2.4,528,0.04,0.31,23,0.01,387,256,14.5,2.7,14.7
17,provolone cheese,351,26,17,7.5,0.6,2.1,0.6,26,0,69,876,41,0.24,0.02,0.011,0.95,0.32,0.1,0.19,0.07,0,0.4,0.23,2.2,756,0.02,0.52,28,0.01,496,138,14.5,2.8,15
18,pecorino romano,387,27,18,7.6,0.8,3.6,0.7,32,0,104,1200,34,0.19,0.04,0.007,1.2,0.36,0.1,0.42,0.09,0,0.3,0.22,2.5,1064,0.03,0.77,41,0.02,760,86,15.2,3.6,17.8
19,halloumi cheese,321,26,17,7.2,0.6,2.2,1.9,22,0,68,1300,45,0.18,0.03,0.009,1.1,0.3,0.08,0.27,0.06,0,0.3,0.2,2.2,715,0.02,0.65,24,0.01,500,100,13.5,2.5,15.1
20,mascarpone,429,42,26,12,1.2,4,3.6,4.6,0,123,44,44,0.34,0.02,0.006,0.3,0.19,0.05,0.22,0.03,0,0.1,0.35,1.4,141,0.01,0.09,9,0.002,130,60,3.2,0.4,9.8
21,cream cheese,342,34,19,8.9,1.2,4.1,3.2,6.2,0,110,321,52,0.31,0.02,0.008,0.22,0.23,0.09,0.52,0.06,0,0.1,0.29,1.6,98,0.02,0.11,9,0.003,107,132,3.8,0.5,10.1
22,sour cream,193,19,10,4.8,0.6,4.6,3.9,2.4,0,52,66,73,0.18,0.02,0.005,0.23,0.11,0.07,0.31,0.04,0.9,0.1,0.46,1.7,110,0.01,0.07,10,0.003,83,141,1.8,0.4,7.9
23,double cream,467,50,31,14,1.6,1.6,1.6,1.5,0,170,38,45,0.49,0.02,0.003,0.15,0.1,0.05,0.28,0.03,0.4,0.1,1.2,3.4,55,0.01,0.04,6,0.002,50,65,1.1,0.2,6.3
24,ice cream vanilla,207,11,7,3,0.4,24,21,3.5,0.7,44,80,61,0.13,0.03,0.004,0.37,0.21,0.1,0.45,0.04,0.6,0.1,0.32,0.8,128,0.02,0.09,14,0.004,105,199,2.2,0.5,6.5
25,frozen yogurt,127,3,1.9,0.8,0.1,22,19,4,0.8,13,87,69,0.08,0.03,0.005,0.29,0.17,0.09,0.36,0.04,0.4,0.1,0.18,0.6,143,0.02,0.08,13,0.004,110,176,2.5,0.5,7.1
26,whey protein drink,80,0.8,0.3,0.2,0.1,5,3.5,15,0,5,120,78,0.01,0.06,0.01,1.2,0.3,0.2,0.6,0.1,0,0.2,0.1,0.2,180,0.03,0.1,18,0.01,150,220,8,1.1,14.5
27,quark cheese,143,6,3.8,1.6,0.2,3.9,3.2,13,0,18,44,77,0.05,0.04,0.01,0.5,0.24,0.1,0.5,0.06,0,0.1,0.08,0.3,110,0.02,0.07,12,0.004,140,170,5.2,0.7,11.9
28,clotted cream,586,63,39,18,1.7,2.7,2.7,1.9,0,210,26,30,0.56,0.01,0.002,0.1,0.08,0.04,0.18,0.02,0.2,0.1,1.5,4.1,45,0.01,0.03,5,0.001,40,50,0.9,0.2,5.8
29,burrata cheese,300,25,16,7.1,0.7,2,1,17,0,80,500,52,0.18,0.03,0.007,1,0.28,0.08,0.22,0.06,0,0.2,0.18,2.2,350,0.02,0.3,18,0.01,280,90,12.8,2.2,13.6
30,oat milk,45,1.5,0.2,0.5,0.7,6.7,4,1,0.8,0,100,89,0.15,0.2,0.03,0.38,0.25,0.4,0.5,0.09,0,1.2,0.2,0.5,120,0.03,0.2,15,0.1,90,140,3.5,0.4,8
