Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
16,feta cheese,264,21,15,4.3,0.6,4.1,4.1,14,0,89,1116,56,0.13,0.15,0.032,1.69,0.84,0.99,0.97,0.42,0,0.4,0.18,1.8,493,0.03,0.65,19,0.03,337,62,15,2.9,12.9
17,gouda cheese,356,27,18,7.7,0.7,2.2,2.2,25,0,114,819,42,0.17,0.03,0.021,1.5,0.33,0.06,0.34,0.08,0,0.5,0.24,2.3,700,0.04,0.24,29,0.01,546,121,14.5,3.9,15.1
18,swiss cheese,380,28,18,8,1,5.4,0.4,27,0,93,192,38,0.2,0.05,0.01,3.1,0.3,0.1,0.34,0.08,0,0.6,0.25,2.5,791,0.03,0.19,38,0.01,567,111,26.8,4.4,16.2
19,blue cheese,353,29,18,7.8,0.8,2.3,0.5,21,0,75,1395,42,0.2,0.03,0.036,1.2,0.38,0.17,1.73,0.17,0,0.5,0.25,2.4,528,0.04,0.31,23,0.01,387,256,14.5,2.7,14.7
20,provolone cheese,351,26,17,7.5,0.6,2.1,0.6,26,0,69,876,41,0.24,0.02,0.011,0.95,0.32,0.1,0.19,0.07,0,0.4,0.23,2.2,756,0.02,0.52,28,0.01,496,138,14.5,2.8,15
21,monterey jack cheese,373,31,19,8.8,0.9,0.7,0.5,24,0,89,536,41,0.19,0.01,0.009,0.83,0.39,0.06,0.19,0.08,0,0.4,0.19,2.1,746,0.02,0.68,27,0.01,444,81,14.5,2.6,14.4
22,colby cheese,394,32,20,9.1,0.8,2.6,0.5,23,0,95,604,38,0.2,0.02,0.018,0.83,0.37,0.09,0.21,0.08,0,0.3,0.28,2.5,685,0.03,0.76,26,0.01,457,127,14.5,3.1,14.6
23,edam cheese,357,28,18,8.1,0.7,1.4,1.4,25,0,89,965,41,0.24,0.04,0.016,1.54,0.39,0.08,0.28,0.08,0,0.5,0.24,2.3,731,0.04,0.44,30,0.01,536,188,14.5,3.8,15.4
24,pecorino romano,387,27,18,7.6,0.8,3.6,0.7,32,0,104,1200,34,0.19,0.04,0.007,1.2,0.36,0.1,0.42,0.09,0,0.3,0.22,2.5,1064,0.03,0.77,41,0.02,760,86,15.2,3.6,17.8
25,halloumi cheese,321,26,17,7.2,0.6,2.2,1.9,22,0,68,1300,45,0.18,0.03,0.009,1.1,0.3,0.08,0.27,0.06,0,0.3,0.2,2.2,715,0.02,0.65,24,0.01,500,100,13.5,2.5,15.1
26,mascarpone,429,42,26,12,1.2,4,3.6,4.6,0,123,44,44,0.34,0.02,0.006,0.3,0.19,0.05,0.22,0.03,0,0.1,0.35,1.4,141,0.01,0.09,9,0.002,130,60,3.2,0.4,9.8
27,cream cheese,342,34,19,8.9,1.2,4.1,3.2,6.2,0,110,321,52,0.31,0.02,0.008,0.22,0.23,0.09,0.52,0.06,0,0.1,0.29,1.6,98,0.02,0.11,9,0.003,107,132,3.8,0.5,10.1
28,neufchatel cheese,253,22,14,5.9,0.5,3.6,2.7,9.2,0,74,334,63,0.2,0.03,0.009,0.26,0.21,0.1,0.58,0.07,0,0.1,0.23,1.5,117,0.02,0.14,10,0.003,139,152,4.1,0.6,10.8
29,string cheese,300,20,13,5.8,0.5,2.2,1.5,28,0,79,720,45,0.18,0.03,0.007,1.1,0.3,0.08,0.22,0.05,0,0.2,0.17,2.1,720,0.02,0.35,24,0.01,490,90,15.1,2.7,14.3
30,processed cheese,323,24,15,6.8,0.9,5.5,3.2,19,0,75,1390,44,0.22,0.03,0.012,0.9,0.35,0.09,0.44,0.07,0,0.3,0.25,2.2,700,0.03,0.55,22,0.01,480,120,13.9,2.9,12.2
31,evaporated milk,134,7.6,4.9,2.1,0.2,10,10,6.8,0,29,106,74,0.23,0.04,0.01,0.91,0.31,0.2,0.67,0.07,2.3,0.2,0.19,0.6,261,0.03,0.12,24,0.01,203,303,5.2,0.8,11.4
32,sweetened condensed milk,321,8.7,5.5,2.4,0.2,54,54,7.9,0,34,127,27,0.08,0.06,0.01,0.45,0.42,0.2,0.84,0.08,2.6,0.1,0.21,0.7,284,0.03,0.19,26,0.01,253,371,7.7,0.9,8.1
33,whipping cream,340,37,23,10,1.3,2.8,2.8,2.1,0,137,38,58,0.41,0.02,0.004,0.17,0.11,0.08,0.34,0.04,0.5,0.1,0.87,3.1,66,0.01,0.05,7,0.002,61,75,1.5,0.3,6.8
34,sour cream,193,19,10,4.8,0.6,4.6,3.9,2.4,0,52,66,73,0.18,0.02,0.005,0.23,0.11,0.07,0.31,0.04,0.9,0.1,0.46,1.7,110,0.01,0.07,10,0.003,83,141,1.8,0.4,7.9
35,double cream,467,50,31,14,1.6,1.6,1.6,1.5,0,170,38,45,0.49,0.02,0.003,0.15,0.1,0.05,0.28,0.03,0.4,0.1,1.2,3.4,55,0.01,0.04,6,0.002,50,65,1.1,0.2,6.3
36,ice cream vanilla,207,11,7,3,0.4,24,21,3.5,0.7,44,80,61,0.13,0.03,0.004,0.37,0.21,0.1,0.45,0.04,0.6,0.1,0.32,0.8,128,0.02,0.09,14,0.004,105,199,2.2,0.5,6.5
37,frozen yogurt,127,3,1.9,0.8,0.1,22,19,4,0.8,13,87,69,0.08,0.03,0.005,0.29,0.17,0.09,0.36,0.04,0.4,0.1,0.18,0.6,143,0.02,0.08,13,0.004,110,176,2.5,0.5,7.1
38,whey protein drink,80,0.8,0.3,0.2,0.1,5,3.5,15,0,5,120,78,0.01,0.06,0.01,1.2,0.3,0.2,0.6,0.1,0,0.2,0.1,0.2,180,0.03,0.1,18,0.01,150,220,8,1.1,14.5
39,whey cheese,296,19,12,5.3,0.6,7.5,1.5,22,0,70,450,48,0.16,0.04,0.007,0.8,0.29,0.1,0.4,0.08,0,0.3,0.15,1.9,600,0.02,0.4,21,0.01,430,110,12,2.1,13.9
40,asiago cheese,392,32,20,9.2,0.8,1.4,0.3,26,0,95,628,35,0.2,0.03,0.008,1.1,0.33,0.08,0.3,0.07,0,0.4,0.23,2.5,890,0.03,0.42,26,0.01,468,86,14.8,3.2,16.3
41,fontina cheese,389,31,20,8.7,0.7,1.6,0.4,25,0,116,800,39,0.19,0.02,0.01,1.5,0.32,0.09,0.33,0.06,0,0.4,0.2,2.2,550,0.03,0.3,24,0.01,420,64,14.3,2.5,14.9
42,muenster cheese,368,30,19,8.6,0.8,1.1,0.4,24,0,96,628,42,0.17,0.03,0.008,1.4,0.29,0.1,0.21,0.07,0,0.4,0.19,2.1,717,0.02,0.41,27,0.01,468,134,14.6,2.8,15.1
43,romano cheese,387,26,17,7.5,0.8,3.6,0.7,31,0,89,1200,34,0.18,0.04,0.007,1.1,0.35,0.09,0.39,0.08,0,0.3,0.2,2.4,1060,0.03,0.75,40,0.02,745,82,15.1,3.5,17.5
44,paneer,265,21,13,5.8,0.6,1.2,1.2,18,0,56,22,55,0.21,0.05,0.009,0.8,0.18,0.1,0.32,0.08,0,0.2,0.15,1.8,480,0.02,0.2,20,0.01,320,104,12.3,2.1,13.8
45,labneh,138,10,6.3,2.8,0.2,5.3,4.7,8.9,0,35,300,74,0.09,0.04,0.008,0.45,0.22,0.11,0.4,0.05,0.3,0.1,0.1,0.7,180,0.02,0.09,15,0.005,150,210,4.1,0.8,11.1
46,quark cheese,143,6,3.8,1.6,0.2,3.9,3.2,13,0,18,44,77,0.05,0.04,0.01,0.5,0.24,0.1,0.5,0.06,0,0.1,0.08,0.3,110,0.02,0.07,12,0.004,140,170,5.2,0.7,11.9
47,clotted cream,586,63,39,18,1.7,2.7,2.7,1.9,0,210,26,30,0.56,0.01,0.002,0.1,0.08,0.04,0.18,0.02,0.2,0.1,1.5,4.1,45,0.01,0.03,5,0.001,40,50,0.9,0.2,5.8
48,burrata cheese,300,25,16,7.1,0.7,2,1,17,0,80,500,52,0.18,0.03,0.007,1,0.28,0.08,0.22,0.06,0,0.2,0.18,2.2,350,0.02,0.3,18,0.01,280,90,12.8,2.2,13.6
49,oat milk fortified,45,1.5,0.2,0.5,0.7,6.7,4,1,0.8,0,100,89,0.15,0.2,0.03,0.38,0.25,0.4,0.5,0.09,0,1.2,0.2,0.5,120,0.03,0.2,15,0.1,90,140,3.5,0.4,8
